qi-k!520,qi-k!553,qi-k!587,qi-k!565,qi-quant-u-8,qi-quant-u-9,qi-$Multiset[Int]_prog.card_non_negative,qi-$Multiset[Int]_prog.card_empty,qi-quant-u-27,qi-quant-u-2,qi-quant-u-26,qi-quant-u-3,qi-quant-u-0,qi-quant-u-24,qi-quant-u-1,qi-quant-u-10,qi-quant-u-11,qi-quant-u-35,qi-quant-u-34,qi-quant-u-4,qi-quant-u-28,qi-quant-u-5,qi-quant-u-43,qi-quant-u-18,qi-quant-u-42,qi-quant-u-19,qi-quant-u-33,qi-quant-u-32,qi-quant-u-41,qi-quant-u-16,qi-quant-u-40,qi-quant-u-17,qi-quant-u-6,qi-quant-u-30,qi-quant-u-7,qi-quant-u-20,qi-quant-u-45,qi-quant-u-21,qi-quant-u-44,qi-$Multiset[Int]_prog.equal_count,qi-$Multiset[Int]_prog.native_equality,qi-$Multiset[Int]_prog.singleton_unionone,qi-quant-u-12,qi-quant-u-36,qi-quant-u-13,qi-$Multiset[Int]_prog.card_union,qi-$Multiset[Int]_prog.card_unionone,qi-$Multiset[Int]_prog.count_singleton,qi-$Multiset[Int]_prog.count_unionone,qi-$Multiset[Int]_prog.count_card,qi-$Multiset[Int]_prog.count_union,qi-$Multiset[Int]_prog.count_empty,qi-quant-u-14,qi-quant-u-38,qi-quant-u-15,qi-prog.getter_over_tuple2,qi-quant-u-22,qi-quant-u-23,qi-prog.integer_ax_dec,qi-k!569,qi-k!593,qi-k!599,qi-prog.integer_ax_bound,qi-quant-u-47,qi-quant-u-46,execution_time
1,107,62,54,24,76,242,242,75,72,75,114,72,72,71,12,28,15,15,35,35,29,6,8,8,8,26,26,6,6,6,12,6,6,6,1,1,1,1,1,1,43,1,1,1,83,39,159,160,561,178,48,1,1,1,3,2,1,9,136,81,81,6,1,1,11.116745948791504
1,81,62,20,24,52,110,110,45,43,45,46,43,43,41,11,26,13,13,34,34,29,6,8,8,8,26,26,6,6,6,12,6,6,6,1,1,1,1,1,1,16,1,1,1,33,16,79,79,225,87,26,1,1,1,3,2,1,9,74,52,52,6,1,1,10.993242502212524
1,99,64,44,24,72,211,211,67,64,67,94,64,64,63,14,28,17,16,35,35,29,6,8,8,8,26,26,6,6,6,12,6,6,6,1,1,1,1,1,1,34,1,1,1,67,34,152,154,555,154,57,1,1,1,3,2,1,9,124,75,75,6,1,1,10.966875076293945
1,91,63,32,24,64,169,169,59,56,59,74,54,54,53,13,24,16,16,35,35,29,6,8,8,8,26,26,6,6,6,12,6,6,6,1,1,1,1,1,1,27,1,1,1,53,27,125,127,396,127,47,1,1,1,3,2,1,9,98,63,63,6,1,1,11.258367776870728
1,79,62,16,24,56,103,103,47,44,47,42,44,44,43,12,24,15,14,34,34,29,6,8,8,8,26,26,6,6,6,12,6,6,6,1,1,1,1,1,1,14,1,1,1,27,14,76,77,205,74,28,1,1,1,3,2,1,9,68,48,48,6,1,1,11.156837701797485
1,83,63,16,24,56,109,109,53,49,52,42,48,48,47,12,24,15,15,35,35,29,6,8,8,8,26,26,6,6,6,12,6,6,6,1,1,1,1,1,1,14,1,1,1,27,14,78,79,220,78,33,1,1,1,3,2,1,9,68,48,48,6,1,1,10.936635494232178
1,79,62,18,24,52,111,111,47,44,47,46,44,44,42,11,24,13,13,34,34,29,6,8,8,8,26,26,6,6,6,12,6,6,6,1,1,1,1,1,1,16,1,1,1,33,16,80,80,225,90,28,1,1,1,3,2,1,9,72,50,50,6,1,1,10.922288179397583
1,95,62,42,24,72,199,199,63,60,63,90,60,60,59,11,30,14,13,34,34,29,6,8,8,8,26,26,6,6,6,12,6,6,6,1,1,1,1,1,1,32,1,1,1,63,32,136,137,478,140,39,1,1,1,3,2,1,9,120,73,73,6,1,1,11.332127332687378
1,85,63,18,24,56,117,117,53,50,53,46,48,48,47,12,24,15,15,35,35,29,6,8,8,8,26,26,6,6,6,12,6,6,6,1,1,1,1,1,1,16,1,1,1,31,16,85,86,244,88,33,1,1,1,3,2,1,9,72,50,50,6,1,1,10.73275899887085
1,79,61,18,24,56,111,111,47,44,47,46,44,44,42,12,24,14,13,34,34,29,6,8,8,8,26,26,6,6,6,12,6,6,6,1,1,1,1,1,1,16,1,1,1,33,16,84,85,234,91,31,1,1,1,3,2,1,9,72,49,49,6,1,1,10.773168563842773
