qi-k!542,qi-k!553,qi-k!587,qi-k!565,qi-quant-u-8,qi-quant-u-9,qi-$Multiset[Int]_prog.card_non_negative,qi-$Multiset[Int]_prog.card_empty,qi-quant-u-27,qi-quant-u-2,qi-quant-u-26,qi-quant-u-3,qi-quant-u-0,qi-quant-u-24,qi-quant-u-1,qi-quant-u-10,qi-quant-u-11,qi-quant-u-35,qi-quant-u-34,qi-quant-u-4,qi-quant-u-28,qi-quant-u-5,qi-quant-u-41,qi-quant-u-16,qi-quant-u-40,qi-quant-u-17,qi-quant-u-33,qi-quant-u-32,qi-quant-u-39,qi-quant-u-14,qi-quant-u-38,qi-quant-u-15,qi-quant-u-6,qi-quant-u-30,qi-quant-u-7,qi-quant-u-12,qi-quant-u-36,qi-quant-u-13,qi-$Multiset[Int]_prog.equal_count,qi-$Multiset[Int]_prog.singleton_unionone,qi-$Multiset[Int]_prog.count_union,qi-$Multiset[Int]_prog.count_card,qi-$Multiset[Int]_prog.count_singleton,qi-$Multiset[Int]_prog.count_unionone,qi-$Multiset[Int]_prog.card_union,qi-$Multiset[Int]_prog.card_unionone,qi-$Multiset[Int]_prog.count_empty,qi-quant-u-22,qi-quant-u-45,qi-quant-u-23,qi-quant-u-44,qi-$Multiset[Int]_prog.native_equality,qi-prog.getter_over_tuple2,qi-quant-u-20,qi-quant-u-21,qi-prog.integer_ax_dec,qi-k!569,qi-k!593,qi-k!599,qi-prog.integer_ax_bound,execution_time
1,48,24,7,13,24,11,11,11,11,11,11,11,11,11,7,15,7,7,20,20,18,2,2,2,2,13,13,1,1,1,1,1,1,1,1,1,1,13,30,401,786,220,221,116,39,102,1,1,1,1,1,3,2,1,9,50,26,26,6,10.44386100769043
1,48,24,7,13,24,11,11,11,11,11,11,11,11,11,7,15,7,7,20,20,18,2,2,2,2,13,13,1,1,1,1,1,1,1,1,1,1,13,30,381,767,214,215,117,39,100,1,1,1,1,1,3,2,1,9,50,26,26,6,10.691684007644653
1,48,24,7,13,24,11,11,11,11,11,11,11,11,11,7,15,7,7,20,20,18,2,2,2,2,13,13,1,1,1,1,1,1,1,1,1,1,13,30,381,767,214,215,116,39,100,1,1,1,1,1,3,2,1,9,50,26,26,6,10.38664960861206
1,48,24,7,13,24,11,11,11,11,11,11,11,11,11,7,15,7,7,20,20,18,2,2,2,2,13,13,1,1,1,1,1,1,1,1,1,1,13,28,314,627,175,176,111,37,93,1,1,1,1,1,3,2,1,9,50,26,26,6,10.863882303237915
1,48,24,7,13,24,11,11,11,11,11,11,11,11,11,7,15,7,7,20,20,18,2,2,2,2,13,13,1,1,1,1,1,1,1,1,1,1,13,30,396,787,221,222,117,39,102,1,1,1,1,1,3,2,1,9,50,26,26,6,10.758392572402954
1,48,24,7,13,24,11,11,11,11,11,11,11,11,11,7,15,7,7,20,20,18,2,2,2,2,13,13,1,1,1,1,1,1,1,1,1,1,13,28,313,627,175,176,111,37,93,1,1,1,1,1,3,2,1,9,50,26,26,6,10.997275352478027
1,48,24,7,13,24,11,11,11,11,11,11,11,11,11,7,15,7,7,20,20,18,2,2,2,2,13,13,1,1,1,1,1,1,1,1,1,1,13,30,381,767,214,215,116,39,100,1,1,1,1,1,3,2,1,9,50,26,26,6,10.466723680496216
1,48,24,7,13,24,11,11,11,11,11,11,11,11,11,7,15,7,7,20,20,18,2,2,2,2,13,13,1,1,1,1,1,1,1,1,1,1,13,30,381,767,214,215,116,39,100,1,1,1,1,1,3,2,1,9,50,26,26,6,10.405782699584961
1,48,24,7,13,24,11,11,11,11,11,11,11,11,11,7,15,7,7,20,20,18,2,2,2,2,13,13,1,1,1,1,1,1,1,1,1,1,13,28,313,627,175,176,111,37,93,1,1,1,1,1,3,2,1,9,50,26,26,6,10.662888526916504
1,48,24,7,13,24,11,11,11,11,11,11,11,11,11,7,15,7,7,20,20,18,2,2,2,2,13,13,1,1,1,1,1,1,1,1,1,1,13,30,381,767,214,215,116,39,100,1,1,1,1,1,3,2,1,9,50,26,26,6,10.876100063323975
1,48,24,7,13,24,11,11,11,11,11,11,11,11,11,7,15,7,7,20,20,18,2,2,2,2,13,13,1,1,1,1,1,1,1,1,1,1,13,30,381,766,213,214,117,39,100,1,1,1,1,1,3,2,1,9,50,26,26,6,10.342998504638672
1,48,24,7,13,24,11,11,11,11,11,11,11,11,11,7,15,7,7,20,20,18,2,2,2,2,13,13,1,1,1,1,1,1,1,1,1,1,13,28,314,627,175,176,112,37,93,1,1,1,1,1,3,2,1,9,50,26,26,6,10.589011192321777
1,48,24,7,13,24,11,11,11,11,11,11,11,11,11,7,15,7,7,20,20,18,2,2,2,2,13,13,1,1,1,1,1,1,1,1,1,1,13,30,381,767,214,215,117,39,100,1,1,1,1,1,3,2,1,9,50,26,26,6,10.6397864818573
1,48,24,7,13,24,11,11,11,11,11,11,11,11,11,7,15,7,7,20,20,18,2,2,2,2,13,13,1,1,1,1,1,1,1,1,1,1,13,30,381,767,214,215,116,39,100,1,1,1,1,1,3,2,1,9,50,26,26,6,10.607729434967041
1,48,24,7,13,24,11,11,11,11,11,11,11,11,11,7,15,7,7,20,20,18,2,2,2,2,13,13,1,1,1,1,1,1,1,1,1,1,13,30,396,786,220,221,117,39,102,1,1,1,1,1,3,2,1,9,50,26,26,6,10.631652593612671
