qi-k!1207,qi-$Set[Int]_prog.in_singleton_set,qi-quant-u-0,qi-quant-u-200,qi-quant-u-1,qi-$Set[Int]_prog.singleton_set_cardinality,qi-$Set[Int]_prog.card_non_negative,qi-$Set[Int]_prog.empty_set_cardinality,qi-$Set[Int]_prog.in_singleton_set_equality,qi-$Set[Int]_prog.equality_definition,qi-$Set[Int]_prog.native_equality,qi-quant-u-2,qi-quant-u-205,qi-quant-u-203,qi-quant-u-3,qi-quant-u-202,qi-$Set[Int]_prog.not_in_difference,qi-$Set[Int]_prog.in_difference,qi-$Set[Int]_prog.cardinality_difference,qi-$Set[Int]_prog.cardinality_sums,qi-$Set[Int]_prog.in_intersection_in_both,qi-$Set[Int]_prog.in_left_in_union,qi-$Set[Int]_prog.in_right_in_union,qi-$Set[Int]_prog.in_union_in_one,qi-$Set[Int]_prog.in_empty_set,qi-quant-u-4,qi-quant-u-207,qi-quant-u-5,qi-quant-u-10,qi-quant-u-219,qi-quant-u-11,qi-quant-u-217,qi-quant-u-214,qi-quant-u-6,qi-quant-u-213,qi-quant-u-7,qi-quant-u-209,qi-k!872,qi-quant-u-8,qi-quant-u-215,qi-quant-u-9,qi-quant-u-14,qi-quant-u-15,qi-quant-u-222,qi-quant-u-221,qi-quant-u-12,qi-quant-u-220,qi-quant-u-13,qi-k!1050,qi-k!1082,qi-k!1045,qi-k!1071,qi-k!1144,qi-k!1139,qi-prog./home/daniel/practical-work/gobra-libs-eval/report/code/standard_library/dicts_not_opaque/dicts_not_opaque.gobra.vpr@887@12@890@61,qi-k!1080,qi-quant-u-225,qi-quant-u-224,qi-k!1148,qi-quant-u-19,qi-quant-u-230,qi-k!2173,qi-k!1122,qi-k!2167,qi-quant-u-16,qi-quant-u-228,qi-quant-u-226,qi-quant-u-227,qi-prog./home/daniel/practical-work/gobra-libs-eval/report/code/standard_library/dicts_not_opaque/dicts_not_opaque.gobra.vpr@891@12@894@48,qi-quant-u-237,qi-quant-u-20,qi-quant-u-236,qi-quant-u-21,qi-quant-u-250,qi-quant-u-24,qi-quant-u-249,qi-quant-u-31,qi-quant-u-259,qi-quant-u-25,qi-quant-u-245,qi-k!3209,qi-quant-u-22,qi-quant-u-243,qi-quant-u-23,qi-quant-u-238,qi-quant-u-26,qi-quant-u-253,qi-$Set[Int]_prog.subset_definition,qi-k!862,qi-quant-u-28,qi-quant-u-257,qi-quant-u-256,qi-quant-u-29,qi-quant-u-255,qi-quant-u-244,qi-quant-u-44,qi-quant-u-45,qi-quant-u-279,qi-k!3990,qi-quant-u-251,qi-quant-u-252,qi-prog./home/daniel/practical-work/gobra-libs-eval/report/code/standard_library/dicts_not_opaque/dicts_not_opaque.gobra.vpr@764@12@766@56,qi-quant-u-34,qi-quant-u-267,qi-quant-u-35,qi-quant-u-266,qi-quant-u-32,qi-quant-u-265,qi-quant-u-33,qi-quant-u-263,qi-quant-u-46,qi-quant-u-286,qi-quant-u-47,qi-quant-u-284,qi-prog./home/daniel/practical-work/gobra-libs-eval/report/code/standard_library/dicts_not_opaque/dicts_not_opaque.gobra.vpr@1115@12@1117@62,qi-quant-u-272,qi-quant-u-36,qi-quant-u-271,qi-quant-u-37,qi-quant-u-269,qi-quant-u-49,qi-quant-u-289,qi-k!4699,qi-k!4707,qi-k!1131,qi-quant-u-41,qi-quant-u-40,qi-quant-u-275,qi-k!3889,qi-k!1098,qi-quant-u-278,qi-quant-u-42,qi-quant-u-277,qi-quant-u-43,qi-quant-u-283,qi-quant-u-282,qi-prog./home/daniel/practical-work/gobra-libs-eval/report/code/standard_library/dicts_not_opaque/dicts_not_opaque.gobra.vpr@913@6@916@41,qi-quant-u-288,qi-quant-u-287,qi-prog./home/daniel/practical-work/gobra-libs-eval/report/code/standard_library/dicts_not_opaque/dicts_not_opaque.gobra.vpr@286@13@288@54,qi-quant-u-296,qi-quant-u-50,qi-quant-u-295,qi-quant-u-51,qi-quant-u-274,qi-quant-u-38,qi-quant-u-273,qi-quant-u-39,qi-$Set[Int]_prog.union_right_idempotency,qi-prog./home/daniel/practical-work/gobra-libs-eval/report/code/standard_library/dicts_not_opaque/dicts_not_opaque.gobra.vpr@705@12@706@74,qi-quant-u-262,qi-quant-u-30,qi-quant-u-261,qi-$Set[Int]_prog.intersection_right_idempotency,qi-$Set[Int]_prog.intersection_left_idempotency,qi-$Multiset[Int]_prog.count_card,qi-$Multiset[Int]_prog.card_non_negative,qi-$Multiset[Int]_prog.card_empty,qi-quant-u-120,qi-$Multiset[Int]_prog.singleton_unionone,qi-$Multiset[Int]_prog.count_union,qi-$Multiset[Int]_prog.card_union,qi-quant-u-121,qi-quant-u-428,qi-$Multiset[Int]_prog.count_singleton,qi-$Multiset[Int]_prog.count_unionone,qi-$Multiset[Int]_prog.count_empty,qi-k!8394,qi-k!8400,qi-$Multiset[Int]_prog.card_unionone,qi-prog./home/daniel/practical-work/gobra-libs-eval/report/code/standard_library/dicts_not_opaque/dicts_not_opaque.gobra.vpr@1042@12@1044@47,qi-prog./home/daniel/practical-work/gobra-libs-eval/report/code/standard_library/dicts_not_opaque/dicts_not_opaque.gobra.vpr@404@6@406@68,qi-k!1102,qi-quant-u-146,qi-quant-u-147,qi-quant-u-476,qi-$Set[Int]_prog.union_left_idempotency,qi-prog./home/daniel/practical-work/gobra-libs-eval/report/code/standard_library/dicts_not_opaque/dicts_not_opaque.gobra.vpr@1204@12@1206@25,qi-prog./home/daniel/practical-work/gobra-libs-eval/report/code/standard_library/dicts_not_opaque/dicts_not_opaque.gobra.vpr@714@12@715@20,qi-k!1604,qi-k!1598,qi-prog.getter_over_tuple2,qi-quant-u-150,qi-quant-u-151,qi-k!1869,qi-k!2061,qi-prog.set_ax_dec,qi-prog.set_ax_bound,qi-prog.integer_ax_dec,qi-prog.integer_ax_bound,execution_time
1,24,79,74,79,10,516,516,506,82,69,28,28,24,26,24,928,784,78,114,3146,1234,1364,194,42,51,46,47,20,20,20,20,18,38,38,37,36,70,6,6,6,1,2,2,12,12,12,12,44,44,44,2,1081,212,5,1,1,1,110,11,11,2,141,17,5,5,4,4,3,13,13,13,11,13,13,13,33,33,13,13,24,4,4,4,4,5,5,11,1,1,1,1,1,1,2,4,6,6,2,2,2,3,13,10,12,1,1,1,1,1,6,6,6,6,44,1,1,1,1,1,7,7,16,26,2,3,3,3,8,3,5,5,5,5,2,2,1,1,1,2,1,1,1,1,1,1,1,1,6,1,8,8,8,2,1,4,2,2,2,2,10,4,2,2,8,8,7,3,3,2,1,2,2,4,4,4,2,2,3,93,9,3,2,1,4,8,10,9,2,2,18.252676486968994
1,24,88,81,87,10,538,536,596,86,72,29,29,24,26,24,1030,936,83,119,3529,1388,1547,200,59,51,46,47,20,20,20,20,16,36,36,35,35,92,6,6,6,1,2,2,12,12,12,12,47,46,46,2,1237,245,5,1,1,1,135,12,12,2,164,15,5,5,4,4,3,13,13,13,12,13,13,13,34,34,13,13,7,4,4,4,4,5,5,11,1,1,1,1,1,1,2,4,6,6,2,2,2,2,8,5,7,1,1,1,1,1,4,4,4,4,44,1,1,1,1,1,7,7,17,27,2,3,3,3,8,3,5,5,5,5,2,2,1,1,1,2,1,1,1,1,1,1,1,1,6,1,8,8,8,2,1,4,2,2,2,2,10,4,2,2,8,8,7,3,3,2,1,1,2,4,4,4,2,2,3,114,9,3,2,1,4,14,9,9,2,2,18.373303413391113
1,23,86,79,86,10,537,537,554,84,70,29,29,23,25,23,1000,873,82,119,3358,1324,1489,192,49,51,46,47,20,20,20,20,18,38,38,36,36,78,6,6,6,1,2,2,12,12,12,12,46,45,45,8,1172,220,5,1,1,1,114,11,11,2,154,15,5,5,4,4,3,13,13,13,11,13,13,13,34,34,13,13,7,4,4,4,4,5,5,11,1,1,1,1,1,1,2,4,6,6,2,2,2,2,10,7,8,1,1,1,1,1,6,6,6,6,49,1,1,1,1,1,7,7,16,26,2,3,3,3,8,3,5,5,5,5,2,2,1,1,1,2,1,1,1,1,1,1,1,1,6,1,8,8,8,2,1,4,2,2,2,2,10,4,2,2,8,8,7,3,3,2,1,2,2,4,4,4,2,2,3,101,9,3,2,1,4,2,10,9,2,2,18.887043237686157
1,24,80,73,79,10,512,512,489,80,67,29,29,24,26,24,900,760,79,112,2941,1172,1324,200,39,51,46,47,20,20,20,20,18,38,38,37,37,65,6,6,6,1,2,2,12,12,12,12,45,45,45,2,1054,206,5,1,1,1,102,12,12,2,147,15,5,5,4,4,3,13,13,13,12,13,13,13,34,34,13,13,7,4,4,4,4,5,5,11,1,1,1,1,1,1,2,4,6,6,2,2,2,3,8,5,7,1,1,1,1,1,4,4,4,4,46,1,1,1,1,1,7,7,14,24,2,3,3,3,8,5,5,5,5,5,2,2,1,1,1,2,1,1,1,1,1,1,1,1,6,1,8,8,8,2,1,4,2,2,2,2,10,4,2,2,8,8,7,3,3,2,1,2,2,4,4,4,2,2,3,83,7,3,2,1,18,8,10,9,2,2,18.888944625854492
1,23,80,73,80,10,512,512,511,81,66,28,28,23,25,23,928,850,74,111,3011,1208,1357,182,27,51,46,47,20,20,20,20,17,37,37,35,35,98,6,6,6,1,2,2,12,12,12,12,44,44,44,8,1166,227,5,1,1,1,123,11,11,2,176,15,5,5,4,4,3,13,13,13,11,13,13,13,34,34,13,13,7,4,4,4,4,5,5,11,1,1,1,1,1,1,2,4,6,6,2,2,2,2,8,5,7,1,1,1,1,1,4,4,4,4,48,1,1,1,1,1,7,7,14,24,2,3,3,3,8,5,5,5,5,5,2,2,1,1,1,2,1,1,1,1,1,1,1,1,6,1,8,8,8,2,1,4,2,2,2,2,10,4,2,2,8,8,7,3,3,2,1,2,2,4,4,4,2,2,3,121,9,3,2,1,4,8,9,9,2,2,18.527926921844482
1,24,81,76,80,10,529,529,525,83,71,28,28,24,26,24,965,780,79,116,3238,1322,1401,204,54,51,46,47,20,20,20,20,16,36,36,35,35,63,6,6,6,1,2,2,12,12,12,12,45,45,45,1,1098,217,5,1,1,1,108,12,12,2,136,15,5,5,4,4,3,13,13,13,12,13,13,13,30,30,13,13,6,4,4,4,4,5,5,11,1,1,1,1,1,1,2,4,6,6,2,2,2,2,11,8,10,1,1,1,1,1,6,6,6,6,48,1,1,1,1,1,7,7,13,23,2,3,3,3,8,3,5,5,5,5,2,2,1,1,1,2,1,1,1,1,1,1,1,1,6,1,8,8,8,2,1,4,2,2,2,2,10,4,2,2,8,8,7,3,3,2,1,1,2,4,4,4,2,2,3,85,9,3,2,1,4,14,9,9,2,2,19.114484071731567
1,23,79,73,78,10,518,517,536,85,70,30,30,23,25,23,950,851,77,112,3237,1293,1422,191,71,51,46,47,20,20,20,20,16,36,36,34,34,81,6,6,6,1,2,2,12,12,12,12,46,45,45,8,1141,229,5,1,1,1,114,11,11,2,153,15,5,5,4,4,3,13,13,13,11,13,13,13,33,33,13,13,7,4,4,4,4,5,5,11,1,1,1,1,1,1,2,4,6,6,2,2,2,3,8,5,7,1,1,1,1,1,4,4,4,4,47,1,1,1,1,1,7,7,13,23,2,3,3,3,8,3,5,5,5,5,2,2,1,1,1,2,1,1,1,1,1,1,1,1,6,1,8,8,8,2,1,4,2,2,2,2,10,4,2,2,8,8,7,3,3,2,1,1,2,4,4,4,2,2,3,103,9,3,2,1,4,14,9,9,2,2,18.09272789955139
1,24,88,80,87,10,532,532,617,87,74,28,28,24,26,24,1004,887,75,118,3644,1421,1539,200,102,51,46,47,20,20,20,20,16,36,36,35,35,73,6,6,6,1,2,2,12,12,12,12,45,45,45,1,1257,240,5,1,1,1,127,12,12,2,161,15,5,5,4,4,3,13,13,13,12,13,13,13,35,35,13,13,7,4,4,4,4,5,5,11,1,1,1,1,1,1,2,4,6,6,2,2,2,2,10,7,9,1,1,1,1,1,4,4,4,4,45,1,1,1,1,1,7,7,17,27,2,3,3,3,8,5,5,5,5,5,2,2,1,1,1,2,1,1,1,1,1,1,1,1,6,1,8,8,8,2,1,4,2,2,2,2,10,4,2,2,8,8,7,3,3,2,1,2,2,4,4,4,2,2,3,95,9,3,2,1,4,14,9,9,2,2,19.181499242782593
1,24,83,78,83,10,515,515,568,82,68,28,28,24,26,24,945,849,75,111,3110,1275,1377,209,66,51,46,47,20,20,20,20,17,37,37,36,36,70,6,6,6,1,2,2,12,12,12,12,45,45,45,3,1152,224,5,1,1,1,112,12,12,2,156,15,5,5,4,4,3,13,13,13,12,13,13,13,33,33,13,13,9,4,4,4,4,5,5,11,1,1,1,1,1,1,2,4,6,6,2,2,2,3,8,5,7,1,1,1,1,1,4,4,4,4,49,1,1,1,1,1,7,7,14,24,2,3,3,3,8,5,5,5,5,5,2,2,1,1,1,2,1,1,1,1,1,1,1,1,6,1,8,8,8,2,1,4,2,2,2,2,10,4,2,2,8,8,7,3,3,2,1,2,2,4,4,4,2,2,3,92,9,3,2,1,4,14,10,9,2,2,19.31056237220764
1,23,81,74,81,10,517,517,557,84,71,29,29,23,25,23,953,860,75,113,3472,1318,1456,198,83,51,46,47,20,20,20,20,17,37,37,35,35,92,6,6,6,1,2,2,12,12,12,12,44,44,44,1,1213,231,5,1,1,1,123,11,11,2,163,16,5,5,4,4,3,13,13,13,11,13,13,13,36,35,13,13,24,4,4,4,4,5,5,11,1,1,1,1,1,1,2,4,6,6,2,2,2,2,10,7,9,1,1,1,1,1,6,6,6,6,45,1,1,1,1,1,7,7,16,26,2,3,3,3,8,3,5,5,5,5,2,2,1,1,1,2,1,1,1,1,1,1,1,1,6,1,8,8,8,2,1,4,2,2,2,2,10,4,2,2,8,8,7,3,3,2,1,2,2,4,4,4,2,2,3,114,9,3,2,1,4,8,10,9,2,2,19.14799475669861
