qi-k!1207,qi-$Set[Int]_prog.in_singleton_set,qi-quant-u-0,qi-quant-u-200,qi-quant-u-1,qi-$Set[Int]_prog.singleton_set_cardinality,qi-$Set[Int]_prog.card_non_negative,qi-$Set[Int]_prog.empty_set_cardinality,qi-$Set[Int]_prog.in_singleton_set_equality,qi-$Set[Int]_prog.equality_definition,qi-$Set[Int]_prog.native_equality,qi-quant-u-2,qi-quant-u-205,qi-quant-u-203,qi-quant-u-3,qi-quant-u-202,qi-$Set[Int]_prog.not_in_difference,qi-$Set[Int]_prog.in_difference,qi-$Set[Int]_prog.cardinality_difference,qi-$Set[Int]_prog.cardinality_sums,qi-$Set[Int]_prog.in_intersection_in_both,qi-$Set[Int]_prog.in_left_in_union,qi-$Set[Int]_prog.in_union_in_one,qi-$Set[Int]_prog.in_empty_set,qi-$Set[Int]_prog.in_right_in_union,qi-quant-u-4,qi-quant-u-207,qi-quant-u-5,qi-quant-u-10,qi-quant-u-219,qi-quant-u-11,qi-quant-u-217,qi-quant-u-214,qi-quant-u-6,qi-quant-u-213,qi-quant-u-7,qi-quant-u-209,qi-k!872,qi-quant-u-8,qi-quant-u-215,qi-quant-u-9,qi-quant-u-15,qi-quant-u-222,qi-quant-u-221,qi-quant-u-12,qi-quant-u-220,qi-quant-u-13,qi-k!1050,qi-k!1082,qi-k!1045,qi-k!1071,qi-k!1144,qi-k!1139,qi-prog./home/daniel/practical-work/gobra-libs-eval/report/code/standard_library/dicts_opaque/dicts_opaque.gobra.vpr@931@12@934@61,qi-k!1080,qi-k!1148,qi-quant-u-19,qi-quant-u-230,qi-k!2173,qi-k!1122,qi-k!2167,qi-quant-u-16,qi-quant-u-228,qi-quant-u-226,qi-quant-u-227,qi-prog./home/daniel/practical-work/gobra-libs-eval/report/code/standard_library/dicts_opaque/dicts_opaque.gobra.vpr@935@12@938@48,qi-quant-u-237,qi-quant-u-20,qi-quant-u-236,qi-quant-u-21,qi-quant-u-250,qi-quant-u-24,qi-quant-u-249,qi-quant-u-33,qi-quant-u-261,qi-quant-u-25,qi-quant-u-245,qi-k!3250,qi-quant-u-22,qi-quant-u-243,qi-quant-u-23,qi-quant-u-238,qi-quant-u-26,qi-quant-u-253,qi-$Set[Int]_prog.subset_definition,qi-k!862,qi-quant-u-256,qi-quant-u-29,qi-quant-u-255,qi-quant-u-244,qi-quant-u-44,qi-quant-u-45,qi-quant-u-279,qi-k!3964,qi-quant-u-251,qi-quant-u-252,qi-prog./home/daniel/practical-work/gobra-libs-eval/report/code/standard_library/dicts_opaque/dicts_opaque.gobra.vpr@800@12@802@56,qi-quant-u-36,qi-quant-u-269,qi-quant-u-37,qi-quant-u-35,qi-quant-u-265,qi-quant-u-290,qi-quant-u-51,qi-quant-u-288,qi-prog./home/daniel/practical-work/gobra-libs-eval/report/code/standard_library/dicts_opaque/dicts_opaque.gobra.vpr@1175@12@1177@62,qi-quant-u-39,qi-quant-u-271,qi-quant-u-272,qi-quant-u-53,qi-quant-u-293,qi-k!4877,qi-k!4885,qi-k!1131,qi-$Multiset[Int]_prog.count_card,qi-$Multiset[Int]_prog.card_non_negative,qi-$Multiset[Int]_prog.card_empty,qi-quant-u-68,qi-$Multiset[Int]_prog.singleton_unionone,qi-$Multiset[Int]_prog.count_union,qi-$Multiset[Int]_prog.card_union,qi-quant-u-69,qi-quant-u-323,qi-$Multiset[Int]_prog.count_empty,qi-$Multiset[Int]_prog.count_singleton,qi-$Multiset[Int]_prog.count_unionone,qi-k!6000,qi-k!6006,qi-$Multiset[Int]_prog.card_unionone,qi-prog./home/daniel/practical-work/gobra-libs-eval/report/code/standard_library/dicts_opaque/dicts_opaque.gobra.vpr@1097@12@1099@47,qi-prog./home/daniel/practical-work/gobra-libs-eval/report/code/standard_library/dicts_opaque/dicts_opaque.gobra.vpr@747@12@748@20,qi-$Set[Int]_prog.intersection_right_idempotency,qi-$Set[Int]_prog.intersection_left_idempotency,qi-quant-u-278,qi-quant-u-42,qi-quant-u-277,qi-quant-u-43,qi-quant-u-260,qi-quant-u-30,qi-quant-u-259,qi-quant-u-31,qi-$Set[Int]_prog.union_right_idempotency,qi-$Set[Int]_prog.union_left_idempotency,qi-quant-u-283,qi-quant-u-282,qi-quant-u-47,qi-quant-u-46,qi-quant-u-284,qi-k!4261,qi-quant-u-287,qi-quant-u-48,qi-quant-u-286,qi-quant-u-49,qi-quant-u-264,qi-quant-u-32,qi-quant-u-263,qi-prog./home/daniel/practical-work/gobra-libs-eval/report/code/standard_library/dicts_opaque/dicts_opaque.gobra.vpr@290@13@292@54,qi-k!1098,qi-prog./home/daniel/practical-work/gobra-libs-eval/report/code/standard_library/dicts_opaque/dicts_opaque.gobra.vpr@419@6@421@68,qi-k!1102,qi-prog./home/daniel/practical-work/gobra-libs-eval/report/code/standard_library/dicts_opaque/dicts_opaque.gobra.vpr@737@12@738@74,qi-prog./home/daniel/practical-work/gobra-libs-eval/report/code/standard_library/dicts_opaque/dicts_opaque.gobra.vpr@1269@12@1271@25,qi-prog./home/daniel/practical-work/gobra-libs-eval/report/code/standard_library/dicts_opaque/dicts_opaque.gobra.vpr@958@6@961@41,qi-quant-u-185,qi-quant-u-553,qi-k!1604,qi-k!1598,qi-prog.getter_over_tuple2,qi-quant-u-132,qi-quant-u-133,qi-k!1893,qi-k!2175,qi-prog.set_ax_dec,qi-prog.set_ax_bound,qi-prog.integer_ax_dec,qi-prog.integer_ax_bound,execution_time
1,22,77,70,77,9,493,492,498,84,70,27,27,22,24,22,804,811,70,106,2724,1042,174,55,1253,50,45,46,19,18,18,18,17,34,34,33,33,84,5,5,5,1,1,12,12,12,12,46,45,45,3,1125,217,5,1,116,11,11,5,174,1,5,5,4,4,3,12,12,12,11,13,13,13,35,35,12,12,3,4,4,4,4,5,5,11,1,1,1,1,2,4,6,6,3,2,2,3,8,5,7,1,1,4,4,4,41,1,1,5,7,7,18,28,2,4,2,2,2,2,10,4,2,2,7,8,8,3,3,2,1,3,2,1,1,1,1,1,1,1,1,1,6,2,2,2,3,3,3,8,5,5,5,5,8,8,8,3,3,2,2,1,2,1,4,4,107,9,3,2,1,4,8,10,9,2,2,18.368810415267944
1,23,84,77,84,9,488,487,518,76,62,28,28,23,25,23,840,730,66,103,2870,1145,190,38,1266,50,45,46,19,19,19,19,15,33,33,31,31,83,5,5,5,1,1,12,12,12,12,44,44,44,8,1154,217,5,1,110,11,11,5,159,1,5,5,4,4,3,13,13,13,11,13,13,13,34,34,13,13,6,4,4,4,4,5,5,11,1,1,1,1,2,4,6,6,3,2,2,2,8,5,7,1,1,4,4,4,48,1,1,5,7,7,14,24,2,4,2,2,2,2,10,4,2,2,7,8,8,3,3,2,1,3,2,1,1,1,1,1,1,1,1,1,6,2,2,2,3,3,3,8,5,5,5,5,8,8,8,3,3,1,2,1,2,1,4,4,106,9,3,2,1,5,2,9,9,2,2,19.30323362350464
1,23,80,71,79,9,484,483,561,83,68,29,29,23,25,23,850,830,68,104,2811,1099,177,52,1279,50,45,46,19,19,19,19,15,33,33,32,32,85,5,5,5,1,1,12,12,12,12,45,45,45,5,1143,219,5,1,116,12,12,5,175,1,5,5,4,4,3,13,13,13,12,13,13,13,36,36,13,13,3,4,4,4,4,5,5,11,1,1,1,1,2,4,6,6,3,2,2,3,10,7,9,1,1,5,5,5,45,1,1,5,7,7,15,25,2,4,2,2,2,2,10,4,2,2,7,8,8,3,3,2,1,3,2,1,1,1,1,1,1,1,1,1,6,2,2,2,3,3,3,8,5,5,5,5,8,8,8,3,3,1,2,1,2,1,4,4,105,9,3,2,1,18,14,9,9,2,2,19.636836051940918
1,23,79,72,79,9,497,496,466,84,70,29,29,23,25,23,826,783,71,106,2823,1120,177,62,1247,50,45,46,19,19,19,19,16,34,34,33,33,88,5,5,5,1,1,12,12,12,12,47,46,46,8,1165,233,5,1,126,12,12,5,190,1,5,5,4,4,3,13,13,13,12,13,13,13,34,34,13,13,3,4,4,4,4,5,5,11,1,1,1,1,2,4,6,6,2,2,2,3,9,6,8,1,1,5,5,5,45,1,1,5,7,7,16,26,2,4,2,2,2,2,10,4,2,2,7,8,8,3,3,2,1,3,2,1,1,1,1,1,1,1,1,1,6,2,2,2,3,3,3,8,5,5,5,5,8,8,8,3,3,1,2,1,2,1,4,4,119,10,3,2,1,4,14,9,9,2,2,19.287102937698364
1,23,79,72,78,9,496,495,564,82,67,29,29,23,25,23,878,849,70,105,2959,1177,181,57,1336,50,45,46,19,19,19,19,15,33,33,32,32,86,5,5,5,1,1,12,12,12,12,45,45,45,4,1193,229,5,1,121,12,12,5,168,1,5,5,4,4,3,13,13,13,12,13,13,13,34,34,13,13,10,4,4,4,4,5,5,11,1,1,1,1,2,4,6,6,3,2,2,2,8,5,7,1,1,4,4,4,62,1,1,5,7,7,14,23,2,4,2,2,2,2,10,4,2,2,7,8,8,3,3,2,1,3,2,1,1,1,1,1,1,1,1,1,6,2,2,2,3,3,3,8,5,5,5,5,8,8,8,3,3,2,2,1,2,1,4,4,107,9,3,2,1,4,14,9,9,2,2,19.0301513671875
1,23,77,70,76,9,489,487,477,86,73,28,28,23,25,23,793,758,69,104,2941,1090,175,112,1276,50,45,46,19,19,19,19,17,35,35,34,34,83,5,5,5,1,1,12,12,12,12,47,46,46,2,1139,224,5,1,122,12,12,5,157,1,5,5,4,4,3,13,13,13,12,13,13,13,33,33,13,13,6,4,4,4,4,5,5,11,1,1,1,1,2,4,6,6,3,2,2,3,8,5,7,1,1,4,4,4,42,1,1,5,7,7,18,28,2,4,2,2,2,2,10,4,2,2,7,8,8,3,3,2,1,3,2,1,1,1,1,1,1,1,1,1,6,2,2,2,3,3,3,8,5,5,5,5,8,8,8,3,5,2,2,1,2,1,4,4,101,7,3,2,1,4,8,10,9,2,2,19.026081323623657
1,22,74,70,74,9,482,480,488,76,63,28,28,22,24,22,817,694,66,100,2721,1078,186,32,1183,50,45,46,19,19,19,19,15,33,33,31,31,64,5,5,5,1,1,12,12,12,12,44,44,44,9,1109,214,5,1,104,11,11,5,142,1,5,5,4,4,3,13,13,13,11,13,13,13,31,31,13,13,10,4,4,4,4,5,5,11,1,1,1,1,2,4,6,6,3,2,2,2,13,10,12,1,1,6,6,6,42,1,1,5,7,7,17,27,2,4,2,2,2,2,10,4,2,2,7,8,8,3,3,2,1,3,2,1,1,1,1,1,1,1,1,1,6,2,2,2,3,3,3,8,5,5,5,5,8,8,8,3,3,2,2,1,2,1,4,4,87,9,3,2,1,4,14,9,9,2,2,19.25423526763916
1,23,78,74,78,9,481,480,508,81,67,28,28,23,25,23,827,703,69,102,2602,1055,167,44,1160,50,45,46,19,19,19,19,17,35,35,34,34,68,5,5,5,1,1,12,12,12,12,45,45,45,3,1057,203,5,1,101,12,12,5,143,1,5,5,4,4,3,13,13,13,12,13,13,13,32,32,13,13,4,4,4,4,4,5,5,11,1,1,1,1,2,4,6,6,2,2,2,2,8,5,7,1,1,4,4,4,45,1,1,5,7,7,16,26,2,4,2,2,2,2,10,4,2,2,7,8,8,3,3,2,1,3,2,1,1,1,1,1,1,1,1,1,6,2,2,2,3,3,3,8,5,5,5,5,8,8,8,3,3,1,2,1,2,1,4,4,90,8,3,2,1,4,14,10,9,2,2,18.768330812454224
1,23,77,70,77,9,489,488,477,83,69,29,29,23,25,23,784,722,71,106,2604,1052,176,44,1118,50,45,46,19,19,19,19,15,33,33,32,32,78,5,5,5,1,1,12,12,12,12,47,46,46,2,1043,208,5,1,115,12,12,5,154,1,5,5,4,4,3,13,13,13,12,13,13,13,34,34,13,13,10,4,4,4,4,5,5,11,1,1,1,1,2,4,6,6,2,2,2,2,8,5,7,1,1,4,4,4,46,1,1,5,7,7,14,24,2,4,2,2,2,2,10,4,2,2,7,8,8,3,3,2,1,3,2,1,1,1,1,1,1,1,1,1,6,2,2,2,3,3,3,8,5,5,5,5,8,8,8,3,5,2,2,1,2,1,4,4,100,9,3,2,1,4,2,9,9,2,2,18.867623805999756
1,22,75,68,75,9,479,477,523,76,62,28,28,22,24,22,813,776,66,101,2732,1061,187,38,1223,50,45,46,19,18,18,18,15,32,32,31,31,77,5,5,5,1,1,12,12,12,12,44,44,44,4,1092,207,5,1,104,11,11,5,150,1,5,5,4,4,3,12,12,12,11,13,13,13,34,34,12,12,6,4,4,4,4,5,5,11,1,1,1,1,2,4,6,6,3,2,2,2,8,5,7,1,1,4,4,4,45,1,1,5,7,7,16,26,2,4,2,2,2,2,10,4,2,2,7,8,8,3,3,2,1,3,2,1,1,1,1,1,1,1,1,1,6,2,2,2,3,3,3,8,5,5,5,5,8,8,8,3,3,1,2,1,2,1,4,4,100,9,3,2,1,5,14,9,9,2,2,18.10794997215271
1,22,76,70,76,9,488,487,478,86,70,28,28,22,24,22,779,737,70,105,2543,983,171,48,1164,50,45,46,19,19,19,19,15,33,33,31,31,77,5,5,5,1,1,12,12,12,12,46,45,45,2,1049,205,5,1,105,11,11,5,157,1,5,5,4,4,3,13,13,13,11,13,13,13,33,33,13,13,4,4,4,4,4,5,5,11,1,1,1,1,2,4,6,6,3,2,2,2,13,10,12,1,1,6,6,6,49,1,1,5,7,7,14,24,2,4,2,2,2,2,10,4,2,2,7,8,8,3,3,2,1,3,2,1,1,1,1,1,1,1,1,1,6,2,2,2,3,3,3,8,5,5,5,5,8,8,8,3,3,1,2,1,2,1,4,4,100,9,3,2,1,4,2,9,9,2,2,18.74820065498352
1,22,77,70,76,9,489,488,519,79,66,28,28,22,24,22,804,763,70,106,2696,1029,184,53,1233,50,45,46,19,18,18,18,17,34,34,33,33,64,5,5,5,1,1,12,12,12,12,46,45,45,5,1056,199,5,1,107,11,11,5,146,1,5,5,4,4,3,12,12,12,11,13,13,13,36,36,12,12,6,4,4,4,4,5,5,11,1,1,1,1,2,4,6,6,2,2,2,3,8,5,7,1,1,4,4,4,47,1,1,5,7,7,15,25,2,4,2,2,2,2,10,4,2,2,7,8,8,3,3,2,1,3,2,1,1,1,1,1,1,1,1,1,6,2,2,2,3,3,3,8,5,5,5,5,8,8,8,3,5,2,2,1,2,1,4,4,82,7,3,2,1,4,8,10,9,2,2,18.986647129058838
1,23,81,77,80,9,493,492,513,77,65,29,29,23,25,23,864,787,68,101,2992,1183,195,58,1310,50,45,46,19,19,19,19,15,33,33,32,32,64,5,5,5,1,1,12,12,12,12,45,45,45,8,1208,232,5,1,118,12,12,5,170,1,5,5,4,4,3,13,13,13,12,13,13,13,33,33,13,13,10,4,4,4,4,5,5,11,1,1,1,1,2,4,6,6,2,2,2,2,10,7,9,1,1,6,6,6,43,1,1,5,7,7,16,26,2,4,2,2,2,2,10,4,2,2,7,8,8,3,3,2,1,3,2,1,1,1,1,1,1,1,1,1,6,2,2,2,3,3,3,8,5,5,5,5,8,8,8,3,5,2,2,1,2,1,4,4,91,10,3,2,1,4,2,9,9,2,2,18.58991265296936
1,23,79,74,79,9,484,483,547,81,67,28,28,23,25,23,846,765,67,100,2868,1122,184,60,1243,50,45,46,19,19,19,19,16,34,34,33,33,78,5,5,5,1,1,12,12,12,12,45,45,45,2,1155,229,5,1,118,12,12,5,148,1,5,5,4,4,3,13,13,13,12,13,13,13,33,33,13,13,6,4,4,4,4,5,5,11,1,1,1,1,2,4,6,6,2,2,2,2,10,7,9,1,1,6,6,6,50,1,1,5,7,7,13,23,2,4,2,2,2,2,10,4,2,2,7,8,8,3,3,2,1,3,2,1,1,1,1,1,1,1,1,1,6,2,2,2,3,3,3,8,5,5,5,5,8,8,8,3,3,2,2,1,2,1,4,4,101,9,3,2,1,4,14,9,9,2,2,18.53548502922058
