qi-k!504,qi-$Set[Int]_prog.in_singleton_set,qi-quant-u-0,qi-quant-u-22,qi-quant-u-1,qi-$Set[Int]_prog.singleton_set_cardinality,qi-$Set[Int]_prog.card_non_negative,qi-$Set[Int]_prog.empty_set_cardinality,qi-$Set[Int]_prog.in_singleton_set_equality,qi-$Set[Int]_prog.equality_definition,qi-$Set[Int]_prog.native_equality,qi-quant-u-2,qi-quant-u-27,qi-quant-u-25,qi-quant-u-3,qi-quant-u-24,qi-$Set[Int]_prog.not_in_difference,qi-$Set[Int]_prog.in_difference,qi-$Set[Int]_prog.cardinality_difference,qi-$Set[Int]_prog.cardinality_sums,qi-$Set[Int]_prog.in_intersection_in_both,qi-$Set[Int]_prog.in_left_in_union,qi-$Set[Int]_prog.in_union_in_one,qi-$Set[Int]_prog.in_empty_set,qi-$Set[Int]_prog.in_right_in_union,qi-quant-u-4,qi-quant-u-29,qi-quant-u-5,qi-$Set[Int]_prog.subset_definition,qi-k!415,qi-quant-u-6,qi-quant-u-31,qi-quant-u-7,qi-quant-u-14,qi-quant-u-46,qi-quant-u-15,qi-quant-u-13,qi-quant-u-42,qi-quant-u-10,qi-quant-u-41,qi-quant-u-11,qi-quant-u-39,qi-quant-u-52,qi-quant-u-21,qi-quant-u-50,qi-quant-u-38,qi-quant-u-8,qi-quant-u-37,qi-quant-u-9,qi-quant-u-33,qi-prog.getter_over_tuple2,qi-quant-u-16,qi-quant-u-17,qi-k!425,qi-prog.set_ax_dec,qi-prog.set_ax_bound,execution_time
1,2,6,6,6,2,24,23,8,5,3,3,3,2,2,2,20,6,5,4,28,16,4,3,13,4,2,3,6,1,1,1,1,6,5,6,1,1,2,2,2,2,3,3,3,5,5,5,5,5,3,2,1,1,3,2,9.424501180648804
1,2,6,6,6,2,24,23,8,5,3,3,3,2,2,2,20,6,5,4,28,16,4,3,13,4,2,3,6,1,1,1,1,6,5,6,1,1,2,2,2,2,3,3,3,5,5,5,5,5,3,2,1,1,3,2,9.53942084312439
1,2,6,6,6,2,24,23,7,5,3,3,3,2,2,2,19,5,5,4,26,15,4,3,12,4,2,3,6,1,1,1,1,6,5,6,1,1,2,2,2,2,3,3,3,5,5,5,5,5,3,2,1,1,3,2,9.688337802886963
1,2,6,6,6,2,24,23,8,5,3,3,3,2,2,2,20,6,5,4,28,16,4,3,13,4,2,3,6,1,1,1,1,6,5,6,1,1,2,2,2,2,3,3,3,5,5,5,5,5,3,2,1,1,3,2,9.773677825927734
1,2,6,6,6,2,24,23,7,5,3,3,3,2,2,2,19,5,5,4,26,15,4,3,12,4,2,3,6,1,1,1,1,7,6,7,1,1,2,2,2,2,3,3,3,5,5,5,5,5,3,2,1,1,3,2,9.556092500686646
1,2,6,6,6,2,24,23,8,5,3,3,3,2,2,2,20,6,5,4,28,16,4,3,13,4,2,3,6,1,1,1,1,8,7,8,1,1,2,2,2,2,3,3,3,5,5,5,5,5,3,2,1,1,3,2,9.536595582962036
1,2,6,6,6,2,24,23,8,5,3,3,3,2,2,2,20,6,5,4,28,16,4,3,13,4,2,3,6,1,1,1,1,6,5,6,1,1,2,2,2,2,3,3,3,5,5,5,5,5,3,2,1,1,3,2,9.530071020126343
1,2,6,6,6,2,24,23,7,5,3,3,3,2,2,2,19,5,5,4,26,15,4,3,12,4,2,3,6,1,1,1,1,8,7,8,1,1,2,2,2,2,3,3,3,5,5,5,5,5,3,2,1,1,3,2,9.540412425994873
1,2,6,6,6,2,24,23,7,5,3,3,3,2,2,2,19,5,5,4,26,15,4,3,12,4,2,3,6,1,1,1,1,6,5,6,1,1,2,2,2,2,3,3,3,5,5,5,5,5,3,2,1,1,3,2,9.814835548400879
1,2,6,6,6,2,24,23,7,5,3,3,3,2,2,2,19,5,5,4,26,15,4,3,12,4,2,3,6,1,1,1,1,6,5,6,1,1,2,2,2,2,3,3,3,5,5,5,5,5,3,2,1,1,3,2,9.810972690582275
1,2,6,6,6,2,24,23,7,5,3,3,3,2,2,2,19,5,5,4,26,15,4,3,12,4,2,3,6,1,1,1,1,6,5,6,1,1,2,2,2,2,3,3,3,5,5,5,5,5,3,2,1,1,3,2,9.623236656188965
1,2,6,6,6,2,24,23,7,5,3,3,3,2,2,2,19,5,5,4,26,15,4,3,12,4,2,3,6,1,1,1,1,6,5,6,1,1,2,2,2,2,3,3,3,5,5,5,5,5,3,2,1,1,3,2,9.560847043991089
1,2,6,6,6,2,24,23,7,5,3,3,3,2,2,2,19,5,5,4,26,15,4,3,12,4,2,3,6,1,1,1,1,6,5,6,1,1,2,2,2,2,3,3,3,5,5,5,5,5,3,2,1,1,3,2,9.491089582443237
1,2,6,6,6,2,24,23,7,5,3,3,3,2,2,2,19,5,5,4,26,15,4,3,12,4,2,3,6,1,1,1,1,6,5,6,1,1,2,2,2,2,3,3,3,5,5,5,5,5,3,2,1,1,3,2,9.59114146232605
1,2,6,6,6,2,24,23,7,5,3,3,3,2,2,2,19,5,5,4,26,15,4,3,12,4,2,3,6,1,1,1,1,6,5,6,1,1,2,2,2,2,3,3,3,5,5,5,5,5,3,2,1,1,3,2,9.501184463500977
1,2,6,6,6,2,24,23,7,5,3,3,3,2,2,2,19,5,5,4,26,15,4,3,12,4,2,3,6,1,1,1,1,6,5,6,1,1,2,2,2,2,3,3,3,5,5,5,5,5,3,2,1,1,3,2,9.428701877593994
1,2,6,6,6,2,24,23,7,5,3,3,3,2,2,2,19,5,5,4,26,15,4,3,12,4,2,3,6,1,1,1,1,6,5,6,1,1,2,2,2,2,3,3,3,5,5,5,5,5,3,2,1,1,3,2,9.559736490249634
1,2,6,6,6,2,24,23,8,5,3,3,3,2,2,2,20,6,5,4,28,16,4,3,13,4,2,3,6,1,1,1,1,6,5,6,1,1,2,2,2,2,3,3,3,5,5,5,5,5,3,2,1,1,3,2,9.76392149925232
1,2,6,6,6,2,24,23,7,5,3,3,3,2,2,2,19,5,5,4,26,15,4,3,12,4,2,3,6,1,1,1,1,6,5,6,1,1,2,2,2,2,3,3,3,5,5,5,5,5,3,2,1,1,3,2,9.46000337600708
1,2,6,6,6,2,24,23,8,5,3,3,3,2,2,2,20,6,5,4,28,16,4,3,13,4,2,3,6,1,1,1,1,8,7,8,1,1,2,2,2,2,3,3,3,5,5,5,5,5,3,2,1,1,3,2,9.627538442611694
1,2,6,6,6,2,24,23,8,5,3,3,3,2,2,2,20,6,5,4,28,16,4,3,13,4,2,3,6,1,1,1,1,6,5,6,1,1,2,2,2,2,3,3,3,5,5,5,5,5,3,2,1,1,3,2,9.961721181869507
1,2,6,6,6,2,24,23,7,5,3,3,3,2,2,2,19,5,5,4,26,15,4,3,12,4,2,3,6,1,1,1,1,6,5,6,1,1,2,2,2,2,3,3,3,5,5,5,5,5,3,2,1,1,3,2,9.557636976242065
1,2,6,6,6,2,24,23,7,5,3,3,3,2,2,2,19,5,5,4,26,15,4,3,12,4,2,3,6,1,1,1,1,6,5,6,1,1,2,2,2,2,3,3,3,5,5,5,5,5,3,2,1,1,3,2,9.724958896636963
1,2,6,6,6,2,24,23,8,5,3,3,3,2,2,2,20,6,5,4,28,16,4,3,13,4,2,3,6,1,1,1,1,8,7,8,1,1,2,2,2,2,3,3,3,5,5,5,5,5,3,2,1,1,3,2,9.733354568481445
1,2,6,6,6,2,24,23,7,5,3,3,3,2,2,2,19,5,5,4,26,15,4,3,12,4,2,3,6,1,1,1,1,6,5,6,1,1,2,2,2,2,3,3,3,5,5,5,5,5,3,2,1,1,3,2,9.674569606781006
1,2,6,6,6,2,24,23,8,5,3,3,3,2,2,2,20,6,5,4,28,16,4,3,13,4,2,3,6,1,1,1,1,6,5,6,1,1,2,2,2,2,3,3,3,5,5,5,5,5,3,2,1,1,3,2,9.520197868347168
1,2,6,6,6,2,24,23,8,5,3,3,3,2,2,2,20,6,5,4,28,16,4,3,13,4,2,3,6,1,1,1,1,6,5,6,1,1,2,2,2,2,3,3,3,5,5,5,5,5,3,2,1,1,3,2,9.430753946304321
1,2,6,6,6,2,24,23,7,5,3,3,3,2,2,2,19,5,5,4,26,15,4,3,12,4,2,3,6,1,1,1,1,6,5,6,1,1,2,2,2,2,3,3,3,5,5,5,5,5,3,2,1,1,3,2,9.35804033279419
1,2,6,6,6,2,24,23,7,5,3,3,3,2,2,2,19,5,5,4,26,15,4,3,12,4,2,3,6,1,1,1,1,8,7,8,1,1,2,2,2,2,3,3,3,5,5,5,5,5,3,2,1,1,3,2,9.446574687957764
1,2,6,6,6,2,24,23,7,5,3,3,3,2,2,2,19,5,5,4,26,15,4,3,12,4,2,3,6,1,1,1,1,8,7,8,1,1,2,2,2,2,3,3,3,5,5,5,5,5,3,2,1,1,3,2,9.53910493850708
