qi-k!881,qi-$Set[Int]_prog.in_singleton_set,qi-quant-u-0,qi-quant-u-110,qi-quant-u-1,qi-$Set[Int]_prog.singleton_set_cardinality,qi-$Set[Int]_prog.card_non_negative,qi-$Set[Int]_prog.empty_set_cardinality,qi-$Set[Int]_prog.in_singleton_set_equality,qi-$Set[Int]_prog.equality_definition,qi-$Set[Int]_prog.native_equality,qi-quant-u-2,qi-quant-u-115,qi-quant-u-113,qi-quant-u-3,qi-quant-u-112,qi-$Set[Int]_prog.in_right_in_union,qi-$Set[Int]_prog.in_left_in_union,qi-$Set[Int]_prog.in_union_in_one,qi-$Set[Int]_prog.cardinality_sums,qi-$Set[Int]_prog.in_intersection_in_both,qi-quant-u-4,qi-quant-u-117,qi-quant-u-5,qi-$Set[Int]_prog.not_in_difference,qi-$Set[Int]_prog.in_difference,qi-$Set[Int]_prog.cardinality_difference,qi-$Set[Int]_prog.in_empty_set,qi-$Set[Int]_prog.subset_definition,qi-k!643,qi-quant-u-6,qi-quant-u-119,qi-quant-u-7,qi-quant-u-127,qi-quant-u-8,qi-quant-u-126,qi-quant-u-20,qi-quant-u-9,qi-quant-u-121,qi-quant-u-21,qi-quant-u-147,qi-k!1885,qi-quant-u-10,qi-quant-u-130,qi-quant-u-128,qi-quant-u-129,qi-prog./home/daniel/practical-work/gobra-libs-eval/report/code/standard_library/sets_not_opaque/sets_not_opaque.gobra.vpr@428@12@430@56,qi-quant-u-137,qi-quant-u-12,qi-quant-u-136,qi-quant-u-13,qi-quant-u-132,qi-quant-u-18,qi-quant-u-145,qi-quant-u-19,qi-quant-u-144,qi-quant-u-16,qi-quant-u-143,qi-quant-u-17,qi-quant-u-141,qi-k!653,qi-quant-u-14,qi-quant-u-140,qi-quant-u-15,qi-quant-u-138,qi-quant-u-26,qi-quant-u-160,qi-quant-u-27,qi-quant-u-158,qi-quant-u-30,qi-quant-u-31,qi-quant-u-167,qi-quant-u-151,qi-quant-u-150,qi-quant-u-153,qi-quant-u-22,qi-quant-u-152,qi-quant-u-23,qi-$Set[Int]_prog.union_left_idempotency,qi-$Multiset[Int]_prog.count_card,qi-$Multiset[Int]_prog.card_non_negative,qi-$Multiset[Int]_prog.card_empty,qi-quant-u-72,qi-$Multiset[Int]_prog.singleton_unionone,qi-$Multiset[Int]_prog.card_union,qi-$Multiset[Int]_prog.count_union,qi-quant-u-73,qi-quant-u-251,qi-$Multiset[Int]_prog.card_unionone,qi-$Multiset[Int]_prog.count_empty,qi-$Multiset[Int]_prog.count_singleton,qi-$Multiset[Int]_prog.count_unionone,qi-k!4524,qi-k!4530,qi-prog./home/daniel/practical-work/gobra-libs-eval/report/code/standard_library/sets_not_opaque/sets_not_opaque.gobra.vpr@602@12@604@47,qi-$Set[Int]_prog.union_right_idempotency,qi-quant-u-24,qi-quant-u-156,qi-quant-u-155,qi-quant-u-25,qi-quant-u-154,qi-quant-u-88,qi-quant-u-89,qi-quant-u-284,qi-prog./home/daniel/practical-work/gobra-libs-eval/report/code/standard_library/sets_not_opaque/sets_not_opaque.gobra.vpr@486@6@489@41,qi-$Set[Int]_prog.intersection_right_idempotency,qi-$Set[Int]_prog.intersection_left_idempotency,qi-quant-u-162,qi-quant-u-161,qi-prog./home/daniel/practical-work/gobra-libs-eval/report/code/standard_library/sets_not_opaque/sets_not_opaque.gobra.vpr@219@13@221@54,qi-prog.getter_over_tuple2,qi-quant-u-44,qi-quant-u-45,qi-prog.set_ax_dec,qi-prog.set_ax_bound,qi-prog.integer_ax_dec,qi-prog.integer_ax_bound,execution_time
1,6,30,30,30,6,147,147,126,17,12,9,9,6,8,6,203,261,63,39,618,23,19,20,244,113,33,7,7,1,4,4,4,12,13,13,4,12,12,6,6,2,3,3,2,2,3,13,18,18,18,18,9,6,8,1,1,1,1,1,3,7,7,7,7,5,5,5,5,1,1,1,2,2,2,2,2,2,2,4,2,2,2,2,4,10,2,2,2,7,8,8,3,3,1,3,1,1,1,1,1,4,4,4,1,2,1,1,1,2,3,2,1,7,6,1,1,12.679861068725586
1,6,30,30,30,6,150,149,122,19,13,10,10,6,8,6,196,258,61,40,603,23,19,20,240,115,35,7,7,1,4,4,4,12,13,13,4,13,13,6,6,2,3,3,2,2,3,13,18,18,18,18,9,6,8,1,1,1,1,1,3,7,7,7,7,5,5,5,5,1,1,1,2,2,2,2,2,2,2,4,2,2,2,2,4,10,2,2,2,7,8,8,3,3,1,3,1,1,1,1,1,4,4,4,1,2,1,1,1,2,3,2,1,7,6,1,1,12.73977780342102
1,6,30,30,30,6,147,147,128,17,12,9,9,6,8,6,209,266,65,39,629,23,19,20,246,117,33,8,7,1,4,4,4,12,13,13,4,13,13,6,6,2,3,3,2,2,3,13,18,18,18,18,8,5,7,1,1,1,1,1,3,7,7,7,7,5,5,5,5,1,1,1,2,2,2,2,2,2,2,4,2,2,2,2,4,10,2,2,2,7,8,8,3,3,1,3,1,1,1,1,1,4,4,4,1,2,1,1,1,2,3,2,1,7,6,1,1,12.615512132644653
1,6,30,30,30,6,147,147,124,17,12,9,9,6,8,6,205,261,66,39,624,23,19,20,240,117,33,8,7,1,4,4,4,12,13,13,4,12,12,6,6,2,3,3,2,2,3,13,18,18,18,18,9,6,8,1,1,1,1,1,3,7,7,7,7,5,5,5,5,1,1,1,2,2,2,2,2,2,2,4,2,2,2,2,4,10,2,2,2,7,8,8,3,3,1,3,1,1,1,1,1,4,4,4,1,2,1,1,1,2,3,2,1,7,6,1,1,12.836374521255493
1,6,30,30,30,6,149,149,121,19,13,9,9,6,8,6,201,266,61,40,615,23,19,20,242,111,34,7,7,1,4,4,4,12,13,13,4,12,12,6,6,2,3,3,2,2,3,13,18,18,18,18,9,6,8,1,1,1,1,1,3,7,7,7,7,5,5,5,5,1,1,1,2,2,2,2,2,2,2,4,2,2,2,2,4,10,2,2,2,7,8,8,3,3,1,3,1,1,1,1,1,4,4,4,1,2,1,1,1,2,3,2,1,7,6,1,1,12.780789136886597
1,6,30,30,30,6,149,149,117,19,13,9,9,6,8,6,192,255,55,40,590,23,19,20,235,105,34,6,7,1,4,4,4,12,13,13,4,13,13,6,6,2,3,3,2,2,3,13,18,18,18,18,8,5,7,1,1,1,1,1,3,7,7,7,7,5,5,5,5,1,1,1,2,2,2,2,2,2,2,4,2,2,2,2,4,10,2,2,2,7,8,8,3,3,1,3,1,1,1,1,1,4,4,4,1,2,1,1,1,2,3,2,1,7,6,1,1,12.957857131958008
1,6,30,30,30,6,149,149,125,19,13,9,9,6,8,6,201,263,61,40,618,23,19,20,246,113,34,6,7,1,4,4,4,12,13,13,4,13,13,6,6,2,3,3,2,2,3,13,18,18,18,18,8,5,7,1,1,1,1,1,3,7,7,7,7,5,5,5,5,1,1,1,2,2,2,2,2,2,2,4,2,2,2,2,4,10,2,2,2,7,8,8,3,3,1,3,1,1,1,1,1,4,4,4,1,2,1,1,1,2,3,2,1,7,6,1,1,12.885841608047485
1,6,30,30,30,6,150,149,119,19,13,10,10,6,8,6,191,257,56,40,597,23,19,20,235,113,35,6,7,1,4,4,4,12,13,13,4,13,13,6,6,2,3,3,2,2,3,13,18,18,18,18,8,5,7,1,1,1,1,1,3,7,7,7,7,5,5,5,5,1,1,1,2,2,2,2,2,2,2,4,2,2,2,2,4,10,2,2,2,7,8,8,3,3,1,3,1,1,1,1,1,4,4,4,1,2,1,1,1,2,3,2,1,7,6,1,1,13.012830018997192
1,6,30,30,30,6,147,147,126,17,12,10,10,6,8,6,210,267,67,39,627,23,19,20,247,118,34,8,7,1,4,4,4,12,13,13,4,13,13,6,6,2,3,3,2,2,3,12,17,17,17,17,10,7,9,1,1,1,1,1,3,7,7,7,7,5,5,5,5,1,1,1,2,2,2,2,2,2,2,4,2,2,2,2,4,10,2,2,2,7,8,8,3,3,1,3,1,1,1,1,1,4,4,4,1,2,1,1,1,2,3,2,1,6,6,1,1,12.470592737197876
1,6,30,30,30,6,147,147,125,17,12,9,9,6,8,6,201,262,64,39,618,23,19,20,242,112,33,7,7,1,4,4,4,12,13,13,4,12,12,6,6,2,3,3,2,2,3,13,18,18,18,18,9,6,8,1,1,1,1,1,3,7,7,7,7,5,5,5,5,1,1,1,2,2,2,2,2,2,2,4,2,2,2,2,4,10,2,2,2,7,8,8,3,3,1,3,1,1,1,1,1,4,4,4,1,2,1,1,1,2,3,2,1,7,6,1,1,12.679120063781738
