qi-k!282,qi-prog.getter_over_tuple2,qi-quant-u-2,qi-quant-u-3,execution_time
1,3,2,1,8.335532665252686
1,3,2,1,8.26456594467163
1,3,2,1,8.425381183624268
1,3,2,1,8.322588920593262
1,3,2,1,8.393415927886963
1,3,2,1,8.249688148498535
1,3,2,1,8.442358016967773
1,3,2,1,8.977903366088867
1,3,2,1,8.78366994857788
1,3,2,1,8.594573259353638
1,3,2,1,8.3912034034729
1,3,2,1,8.748830318450928
1,3,2,1,8.379246234893799
1,3,2,1,8.458815336227417
1,3,2,1,8.532689332962036
1,3,2,1,8.356615543365479
1,3,2,1,8.422563552856445
1,3,2,1,8.405136823654175
1,3,2,1,8.30770230293274
1,3,2,1,8.362667798995972
1,3,2,1,8.493568420410156
1,3,2,1,8.470894813537598
1,3,2,1,8.551515340805054
1,3,2,1,8.3363516330719
1,3,2,1,8.233821392059326
1,3,2,1,8.448015928268433
1,3,2,1,8.614681243896484
1,3,2,1,8.452851057052612
1,3,2,1,8.353624105453491
1,3,2,1,8.54117488861084
