qi-k!456,qi-prog.getter_over_tuple2,qi-quant-u-4,qi-quant-u-5,qi-$Set[Int]_prog.equality_definition,qi-$Set[Int]_prog.native_equality,qi-quant-u-6,qi-quant-u-7,qi-quant-u-12,qi-$Set[Int]_prog.cardinality_difference,qi-$Set[Int]_prog.card_non_negative,qi-$Set[Int]_prog.empty_set_cardinality,qi-$Set[Int]_prog.cardinality_sums,qi-$Set[Int]_prog.in_difference,qi-$Set[Int]_prog.in_intersection_in_both,qi-$Set[Int]_prog.not_in_difference,qi-$Set[Int]_prog.in_right_in_union,qi-$Set[Int]_prog.in_left_in_union,qi-$Set[Int]_prog.in_union_in_one,qi-quant-u-2,qi-quant-u-3,qi-quant-u-10,qi-quant-u-0,qi-quant-u-1,qi-quant-u-8,qi-k!369,qi-$Set[Int]_prog.in_empty_set,execution_time
1,3,2,1,18,18,2,2,2,32,30,30,18,546,1957,650,775,817,469,7,7,7,7,7,7,52,52,9.538095712661743
1,3,2,1,18,18,2,2,2,32,30,30,18,583,2116,706,847,890,502,7,7,7,7,7,7,53,59,9.574820280075073
1,3,2,1,18,18,2,2,2,32,30,30,18,543,1949,652,765,827,470,7,7,7,7,7,7,52,52,9.544771194458008
1,3,2,1,18,18,2,2,2,32,30,30,18,524,1918,632,778,799,459,7,7,7,7,7,7,56,55,9.67936110496521
1,3,2,1,18,18,2,2,2,32,30,30,18,800,2925,916,1062,1205,635,7,7,7,7,7,7,71,95,9.677863836288452
1,3,2,1,18,18,2,2,2,32,30,30,18,500,1943,625,740,811,433,7,7,7,7,7,7,51,53,9.421724081039429
1,3,2,1,18,18,2,2,2,32,30,30,18,472,1795,590,701,762,425,7,7,7,7,7,7,52,52,9.402156591415405
1,3,2,1,18,18,2,2,2,32,30,30,18,561,2021,672,806,854,492,7,7,7,7,7,7,53,55,9.749915599822998
1,3,2,1,18,18,2,2,2,32,30,30,18,577,2201,683,795,896,467,7,7,7,7,7,7,59,62,9.590282201766968
1,3,2,1,18,18,2,2,2,32,30,30,18,560,2040,677,823,843,483,7,7,7,7,7,7,53,54,9.786418914794922
1,3,2,1,18,18,2,2,2,32,30,30,18,666,2423,779,909,1013,537,7,7,7,7,7,7,66,76,9.420378684997559
1,3,2,1,18,18,2,2,2,32,30,30,18,817,2989,952,1143,1193,649,7,7,7,7,7,7,73,90,10.082459688186646
1,3,2,1,18,18,2,2,2,32,30,30,18,482,1861,607,735,768,421,7,7,7,7,7,7,49,49,9.781207084655762
1,3,2,1,18,18,2,2,2,32,30,30,18,537,1955,649,775,833,477,7,7,7,7,7,7,52,52,9.55460238456726
1,3,2,1,18,18,2,2,2,32,30,30,18,655,2360,784,946,983,558,7,7,7,7,7,7,60,72,9.846718549728394
1,3,2,1,18,18,2,2,2,32,30,30,18,504,1957,634,746,837,445,7,7,7,7,7,7,53,54,10.194448709487915
1,3,2,1,18,18,2,2,2,32,30,30,18,569,2081,688,849,868,502,7,7,7,7,7,7,55,63,9.69931674003601
1,3,2,1,18,18,2,2,2,32,30,30,18,511,1943,634,735,831,428,7,7,7,7,7,7,51,53,9.344871759414673
1,3,2,1,18,18,2,2,2,32,30,30,18,702,2590,829,947,1097,576,7,7,7,7,7,7,71,79,9.390014171600342
1,3,2,1,18,18,2,2,2,32,30,30,18,699,2558,823,978,1058,581,7,7,7,7,7,7,66,74,9.626146793365479
1,3,2,1,18,18,2,2,2,32,30,30,18,460,1751,574,690,751,425,7,7,7,7,7,7,52,52,9.431775569915771
1,3,2,1,18,18,2,2,2,32,30,30,18,520,1940,645,766,818,466,7,7,7,7,7,7,52,52,9.625763654708862
1,3,2,1,18,18,2,2,2,32,30,30,18,541,1963,651,777,823,479,7,7,7,7,7,7,52,52,9.568470478057861
1,3,2,1,18,18,2,2,2,32,30,30,18,773,2841,890,1045,1165,619,7,7,7,7,7,7,71,88,9.576039552688599
1,3,2,1,18,18,2,2,2,32,30,30,18,592,2160,712,826,903,514,7,7,7,7,7,7,56,59,9.418208360671997
1,3,2,1,18,18,2,2,2,32,30,30,18,494,1963,643,777,810,452,7,7,7,7,7,7,47,49,9.665214776992798
1,3,2,1,18,18,2,2,2,32,30,30,18,695,2561,845,1008,1069,599,7,7,7,7,7,7,58,77,9.849989652633667
1,3,2,1,18,18,2,2,2,32,30,30,18,514,1870,618,771,773,452,7,7,7,7,7,7,53,53,9.291632175445557
1,3,2,1,18,18,2,2,2,32,30,30,18,581,2108,702,821,891,498,7,7,7,7,7,7,55,56,9.579374313354492
1,3,2,1,18,18,2,2,2,32,30,30,18,699,2622,858,1012,1077,601,7,7,7,7,7,7,62,69,9.533780574798584
