qi-k!310,qi-prog.getter_over_tuple2,qi-quant-u-4,qi-quant-u-5,qi-quant-u-6,qi-quant-u-7,qi-quant-u-12,qi-quant-u-2,qi-quant-u-3,qi-quant-u-10,qi-quant-u-0,qi-quant-u-1,qi-quant-u-8,execution_time
1,3,2,1,2,2,2,7,7,7,7,7,7,8.578405380249023
1,3,2,1,2,2,2,7,7,7,7,7,7,8.974594593048096
1,3,2,1,2,2,2,7,7,7,7,7,7,9.011709213256836
1,3,2,1,2,2,2,7,7,7,7,7,7,8.703482866287231
1,3,2,1,2,2,2,7,7,7,7,7,7,8.811612367630005
1,3,2,1,2,2,2,7,7,7,7,7,7,8.747565746307373
1,3,2,1,2,2,2,7,7,7,7,7,7,8.868013143539429
1,3,2,1,2,2,2,7,7,7,7,7,7,8.772895812988281
1,3,2,1,2,2,2,7,7,7,7,7,7,8.765146732330322
1,3,2,1,2,2,2,7,7,7,7,7,7,8.806260108947754
1,3,2,1,2,2,2,7,7,7,7,7,7,8.878298997879028
1,3,2,1,2,2,2,7,7,7,7,7,7,8.752681970596313
1,3,2,1,2,2,2,7,7,7,7,7,7,8.808711290359497
1,3,2,1,2,2,2,7,7,7,7,7,7,9.000406503677368
1,3,2,1,2,2,2,7,7,7,7,7,7,8.93709111213684
1,3,2,1,2,2,2,7,7,7,7,7,7,8.710549116134644
1,3,2,1,2,2,2,7,7,7,7,7,7,9.347690105438232
1,3,2,1,2,2,2,7,7,7,7,7,7,8.647255897521973
1,3,2,1,2,2,2,7,7,7,7,7,7,8.930657386779785
1,3,2,1,2,2,2,7,7,7,7,7,7,8.703575849533081
1,3,2,1,2,2,2,7,7,7,7,7,7,9.163296699523926
1,3,2,1,2,2,2,7,7,7,7,7,7,9.102988958358765
1,3,2,1,2,2,2,7,7,7,7,7,7,8.71028995513916
1,3,2,1,2,2,2,7,7,7,7,7,7,8.945674180984497
1,3,2,1,2,2,2,7,7,7,7,7,7,8.843187808990479
1,3,2,1,2,2,2,7,7,7,7,7,7,8.91843318939209
1,3,2,1,2,2,2,7,7,7,7,7,7,9.378389120101929
1,3,2,1,2,2,2,7,7,7,7,7,7,9.12360143661499
1,3,2,1,2,2,2,7,7,7,7,7,7,8.929125308990479
1,3,2,1,2,2,2,7,7,7,7,7,7,9.05980658531189
