qi-k!456,qi-prog.getter_over_tuple2,qi-quant-u-0,qi-quant-u-1,qi-$Set[Int]_prog.equality_definition,qi-$Set[Int]_prog.native_equality,qi-$Set[Int]_prog.cardinality_sums,qi-$Set[Int]_prog.card_non_negative,qi-$Set[Int]_prog.empty_set_cardinality,qi-$Set[Int]_prog.cardinality_difference,qi-$Set[Int]_prog.in_intersection_in_both,qi-$Set[Int]_prog.not_in_difference,qi-$Set[Int]_prog.in_right_in_union,qi-$Set[Int]_prog.in_left_in_union,qi-$Set[Int]_prog.in_difference,qi-$Set[Int]_prog.in_union_in_one,qi-quant-u-4,qi-quant-u-5,qi-quant-u-10,qi-quant-u-2,qi-quant-u-3,qi-quant-u-8,qi-k!369,qi-$Set[Int]_prog.in_empty_set,execution_time
1,3,2,1,18,18,27,60,60,38,2055,646,760,835,533,394,7,7,7,7,7,7,120,123,9.745379209518433
1,3,2,1,18,18,27,60,60,38,1924,604,757,811,506,411,7,7,7,7,7,7,104,109,9.577247142791748
1,3,2,1,18,18,27,60,60,38,1938,620,763,816,507,440,7,7,7,7,7,7,104,104,9.393931865692139
1,3,2,1,18,18,27,60,60,38,1628,520,616,682,396,327,7,7,7,7,7,7,96,98,9.393034934997559
1,3,2,1,18,18,27,60,60,38,1900,607,740,786,487,393,7,7,7,7,7,7,101,102,9.546810626983643
1,3,2,1,18,18,27,60,60,38,2361,752,857,979,618,492,7,7,7,7,7,7,126,131,9.7517569065094
1,3,2,1,18,18,27,60,60,38,2058,668,818,847,537,437,7,7,7,7,7,7,111,112,9.555549621582031
1,3,2,1,18,18,27,60,60,38,1805,592,688,770,445,380,7,7,7,7,7,7,106,107,9.577258110046387
1,3,2,1,18,18,27,60,60,38,1719,534,643,722,441,352,7,7,7,7,7,7,101,101,10.029932737350464
1,3,2,1,18,18,27,60,60,38,1519,478,583,615,366,314,7,7,7,7,7,7,91,90,9.579591035842896
1,3,2,1,18,18,27,60,60,38,1932,606,734,788,488,394,7,7,7,7,7,7,104,106,9.680372476577759
1,3,2,1,18,18,27,60,60,38,1646,514,622,674,406,338,7,7,7,7,7,7,100,101,9.42332148551941
1,3,2,1,18,18,27,60,60,38,2138,672,769,882,552,431,7,7,7,7,7,7,113,117,9.66365909576416
1,3,2,1,18,18,27,60,60,38,1542,483,584,634,368,314,7,7,7,7,7,7,92,91,9.450870752334595
1,3,2,1,18,18,27,60,60,38,2094,677,820,862,554,454,7,7,7,7,7,7,117,119,9.71985673904419
1,3,2,1,18,18,27,60,60,38,1891,595,744,764,494,393,7,7,7,7,7,7,103,104,9.637270450592041
1,3,2,1,18,18,27,60,60,38,2047,647,749,852,527,414,7,7,7,7,7,7,107,110,9.450352668762207
1,3,2,1,18,18,27,60,60,40,1501,460,565,611,344,312,7,7,7,7,7,7,83,83,9.543634414672852
1,3,2,1,18,18,27,60,60,38,2519,826,985,1038,670,542,7,7,7,7,7,7,124,133,9.473111867904663
1,3,2,1,18,18,27,60,60,38,1901,604,717,798,480,393,7,7,7,7,7,7,103,106,9.527998447418213
1,3,2,1,18,18,27,60,60,38,1722,538,662,710,435,353,7,7,7,7,7,7,103,102,9.843971490859985
1,3,2,1,18,18,27,60,60,38,1860,576,719,762,480,386,7,7,7,7,7,7,102,102,9.417147874832153
1,3,2,1,18,18,27,60,60,38,2272,736,877,921,596,469,7,7,7,7,7,7,124,128,9.46385931968689
1,3,2,1,18,18,27,60,60,38,2011,629,731,838,514,402,7,7,7,7,7,7,114,118,9.70307445526123
1,3,2,1,18,18,27,60,60,38,1710,540,655,706,434,354,7,7,7,7,7,7,101,101,9.5003342628479
1,3,2,1,18,18,27,60,60,38,2181,671,792,904,567,434,7,7,7,7,7,7,119,126,9.46611213684082
1,3,2,1,18,18,27,60,60,38,1878,587,695,788,474,380,7,7,7,7,7,7,100,102,9.690132141113281
1,3,2,1,18,18,27,60,60,38,1747,542,667,727,441,355,7,7,7,7,7,7,94,96,9.868340253829956
1,3,2,1,18,18,27,60,60,38,1741,549,673,725,453,358,7,7,7,7,7,7,99,100,9.480613946914673
1,3,2,1,18,18,27,60,60,40,2057,654,779,847,530,434,7,7,7,7,7,7,117,122,9.589053630828857
