qi-k!456,qi-prog.getter_over_tuple2,qi-quant-u-2,qi-quant-u-3,qi-$Set[Int]_prog.equality_definition,qi-$Set[Int]_prog.native_equality,qi-$Set[Int]_prog.cardinality_sums,qi-$Set[Int]_prog.card_non_negative,qi-$Set[Int]_prog.empty_set_cardinality,qi-$Set[Int]_prog.cardinality_difference,qi-$Set[Int]_prog.in_intersection_in_both,qi-$Set[Int]_prog.not_in_difference,qi-$Set[Int]_prog.in_right_in_union,qi-$Set[Int]_prog.in_left_in_union,qi-$Set[Int]_prog.in_difference,qi-$Set[Int]_prog.in_union_in_one,qi-quant-u-4,qi-quant-u-5,qi-quant-u-10,qi-k!369,qi-$Set[Int]_prog.in_empty_set,execution_time
1,3,2,1,18,18,27,60,60,38,1894,596,740,791,498,405,7,7,7,104,108,9.44849443435669
1,3,2,1,18,18,27,60,60,38,1659,513,630,685,421,343,7,7,7,96,96,9.497825860977173
1,3,2,1,18,18,27,60,60,38,1725,539,654,706,429,362,7,7,7,93,93,9.6283700466156
1,3,2,1,18,18,27,60,60,38,1778,562,693,737,466,379,7,7,7,103,104,9.390675067901611
1,3,2,1,18,18,27,60,60,38,1751,553,687,708,444,392,7,7,7,107,107,9.543347358703613
1,3,2,1,18,18,27,60,60,38,2455,795,942,1019,659,529,7,7,7,129,138,10.182425737380981
1,3,2,1,18,18,27,60,60,38,2292,747,886,960,602,504,7,7,7,117,123,9.363703489303589
1,3,2,1,18,18,27,60,60,38,1806,581,686,764,445,378,7,7,7,101,104,9.515135288238525
1,3,2,1,18,18,27,60,60,38,2136,670,788,867,550,432,7,7,7,112,119,9.475162982940674
1,3,2,1,18,18,27,60,60,38,1923,611,737,799,489,397,7,7,7,107,110,9.707395792007446
1,3,2,1,18,18,27,60,60,38,1989,614,727,804,513,400,7,7,7,112,115,9.766398429870605
1,3,2,1,18,18,27,60,60,38,2288,743,899,942,604,488,7,7,7,123,126,9.583626747131348
1,3,2,1,18,18,27,60,60,38,1754,539,646,721,446,357,7,7,7,103,103,9.67577600479126
1,3,2,1,18,18,27,60,60,38,2290,734,867,968,603,491,7,7,7,119,128,9.901206970214844
1,3,2,1,18,18,27,60,60,38,1974,629,763,823,510,419,7,7,7,102,107,9.846839189529419
1,3,2,1,18,18,27,60,60,38,2117,683,842,884,569,463,7,7,7,112,117,9.56575894355774
1,3,2,1,18,18,27,60,60,38,1995,626,746,816,523,410,7,7,7,109,112,9.768954753875732
1,3,2,1,18,18,27,60,60,38,2023,620,738,818,517,402,7,7,7,111,114,9.578772068023682
1,3,2,1,18,18,27,60,60,38,2003,640,784,838,529,438,7,7,7,108,108,9.767804145812988
1,3,2,1,18,18,27,60,60,38,1666,538,668,676,413,355,7,7,7,97,96,9.344282627105713
1,3,2,1,18,18,27,60,60,38,1738,560,684,730,433,371,7,7,7,102,103,9.774399280548096
1,3,2,1,18,18,27,60,60,38,2117,677,802,887,560,449,7,7,7,116,119,9.324067115783691
1,3,2,1,18,18,27,60,60,38,1961,606,741,780,500,406,7,7,7,106,108,9.868307828903198
1,3,2,1,18,18,27,60,60,38,2155,675,795,862,557,430,7,7,7,119,123,9.446878433227539
1,3,2,1,18,18,27,60,60,38,1615,511,624,678,397,337,7,7,7,92,92,9.682556867599487
1,3,2,1,18,18,27,60,60,38,2181,692,824,902,581,463,7,7,7,120,124,9.522209644317627
1,3,2,1,18,18,27,60,60,38,2301,737,857,941,611,482,7,7,7,125,128,10.159232378005981
1,3,2,1,18,18,27,60,60,38,1732,536,676,694,437,360,7,7,7,96,96,9.960811614990234
1,3,2,1,18,18,27,60,60,38,2167,702,852,911,580,479,7,7,7,116,119,9.571574926376343
1,3,2,1,18,18,27,60,60,38,2345,760,893,997,618,514,7,7,7,121,125,9.665184497833252
