qi-k!456,qi-prog.getter_over_tuple2,qi-quant-u-4,qi-quant-u-5,qi-$Set[Int]_prog.equality_definition,qi-$Set[Int]_prog.native_equality,qi-$Set[Int]_prog.cardinality_sums,qi-$Set[Int]_prog.card_non_negative,qi-$Set[Int]_prog.empty_set_cardinality,qi-$Set[Int]_prog.cardinality_difference,qi-$Set[Int]_prog.in_intersection_in_both,qi-$Set[Int]_prog.not_in_difference,qi-$Set[Int]_prog.in_right_in_union,qi-$Set[Int]_prog.in_left_in_union,qi-$Set[Int]_prog.in_difference,qi-$Set[Int]_prog.in_union_in_one,qi-k!369,qi-$Set[Int]_prog.in_empty_set,execution_time
1,3,2,1,18,18,27,60,60,38,1701,519,636,694,431,343,99,100,9.68796157836914
1,3,2,1,18,18,27,60,60,38,1750,551,682,720,449,372,96,97,9.373748779296875
1,3,2,1,18,18,27,60,60,40,1699,528,641,679,400,359,89,88,9.41971492767334
1,3,2,1,18,18,27,60,60,38,1699,525,645,698,434,355,96,96,9.459847688674927
1,3,2,1,18,18,27,60,60,38,2192,707,856,919,579,474,113,120,9.4464693069458
1,3,2,1,18,18,27,60,60,38,1843,572,698,742,468,364,98,99,9.584553718566895
1,3,2,1,18,18,27,60,60,38,2199,709,869,926,590,490,115,122,9.615959644317627
1,3,2,1,18,18,27,60,60,38,2470,795,931,1049,653,526,124,135,9.580095767974854
1,3,2,1,18,18,27,60,60,38,1533,478,575,628,368,306,96,96,9.429539442062378
1,3,2,1,18,18,27,60,60,38,1769,551,658,747,449,368,96,96,9.368203163146973
1,3,2,1,18,18,27,60,60,38,1760,547,660,739,448,371,96,95,9.405307292938232
1,3,2,1,18,18,27,60,60,38,2065,658,785,845,536,432,113,114,9.399497509002686
1,3,2,1,18,18,27,60,60,38,1878,577,702,771,476,377,105,105,9.306172609329224
1,3,2,1,18,18,27,60,60,38,1712,536,640,691,405,331,88,88,9.469423055648804
1,3,2,1,18,18,27,60,60,38,1723,530,663,707,439,365,96,96,9.487361907958984
1,3,2,1,18,18,27,60,60,38,1932,609,729,789,500,392,112,114,9.291025400161743
1,3,2,1,18,18,27,60,60,38,1636,503,625,668,411,331,100,99,9.506308317184448
1,3,2,1,18,18,27,60,60,38,1685,515,643,689,429,353,95,95,9.400606870651245
1,3,2,1,18,18,27,60,60,38,1830,571,689,752,475,379,99,99,9.519744157791138
1,3,2,1,18,18,27,60,60,38,2252,730,861,937,590,464,121,125,9.407500743865967
1,3,2,1,18,18,27,60,60,38,2370,759,876,995,622,493,115,124,9.452322959899902
1,3,2,1,18,18,27,60,60,38,1840,574,703,757,475,388,102,103,9.544098854064941
1,3,2,1,18,18,27,60,60,38,1662,513,649,677,427,344,95,95,9.442953109741211
1,3,2,1,18,18,27,60,60,40,2084,652,786,853,536,444,115,120,9.203182697296143
1,3,2,1,18,18,27,60,60,38,1533,486,588,627,358,304,86,85,9.302816390991211
1,3,2,1,18,18,27,60,60,40,1731,533,651,706,439,364,101,101,9.773189306259155
1,3,2,1,18,18,27,60,60,38,1728,533,660,697,443,354,96,96,9.380340099334717
1,3,2,1,18,18,27,60,60,40,1747,541,656,711,425,359,95,96,9.258466005325317
1,3,2,1,18,18,27,60,60,38,1728,531,651,713,436,358,96,96,9.294753074645996
1,3,2,1,18,18,27,60,60,38,1998,635,751,809,519,413,112,114,9.466650485992432
