qi-k!456,qi-prog.getter_over_tuple2,qi-quant-u-2,qi-quant-u-3,qi-$Set[Int]_prog.equality_definition,qi-$Set[Int]_prog.native_equality,qi-quant-u-4,qi-quant-u-5,qi-quant-u-10,qi-$Set[Int]_prog.cardinality_difference,qi-$Set[Int]_prog.card_non_negative,qi-$Set[Int]_prog.empty_set_cardinality,qi-$Set[Int]_prog.cardinality_sums,qi-$Set[Int]_prog.not_in_difference,qi-$Set[Int]_prog.in_intersection_in_both,qi-$Set[Int]_prog.in_right_in_union,qi-$Set[Int]_prog.in_left_in_union,qi-$Set[Int]_prog.in_difference,qi-$Set[Int]_prog.in_union_in_one,qi-quant-u-6,qi-quant-u-7,qi-quant-u-12,qi-quant-u-0,qi-quant-u-1,qi-quant-u-8,qi-k!369,qi-$Set[Int]_prog.in_empty_set,execution_time
1,3,2,1,18,18,2,2,2,32,30,30,18,584,1869,689,774,447,389,7,7,7,7,7,7,86,88,9.549062967300415
1,3,2,1,18,18,2,2,2,32,30,30,18,596,1821,688,742,429,388,7,7,7,7,7,7,86,86,9.43303656578064
1,3,2,1,18,18,2,2,2,32,30,30,18,695,2077,799,870,512,454,7,7,7,7,7,7,99,101,9.796035766601562
1,3,2,1,18,18,2,2,2,32,30,30,18,710,2090,833,884,519,508,7,7,7,7,7,7,92,95,9.568249225616455
1,3,2,1,18,18,2,2,2,32,30,30,18,567,1729,657,696,383,405,7,7,7,7,7,7,86,85,9.461755275726318
1,3,2,1,18,18,2,2,2,32,30,30,18,671,2063,765,865,491,437,7,7,7,7,7,7,95,97,9.650207757949829
1,3,2,1,18,18,2,2,2,32,30,30,18,586,1790,670,715,402,357,7,7,7,7,7,7,92,92,9.550570249557495
1,3,2,1,18,18,2,2,2,32,30,30,18,604,1911,690,770,446,389,7,7,7,7,7,7,91,94,9.594697952270508
1,3,2,1,18,18,2,2,2,32,30,30,18,566,1738,666,706,398,352,7,7,7,7,7,7,83,83,9.456947803497314
1,3,2,1,18,18,2,2,2,32,30,30,18,593,1816,693,740,430,377,7,7,7,7,7,7,87,86,9.671915769577026
1,3,2,1,18,18,2,2,2,32,30,30,18,689,2118,839,877,525,498,7,7,7,7,7,7,91,95,9.92549443244934
1,3,2,1,18,18,2,2,2,32,30,30,18,794,2414,919,996,615,523,7,7,7,7,7,7,113,119,9.447190999984741
1,3,2,1,18,18,2,2,2,32,30,30,18,774,2368,891,988,583,508,7,7,7,7,7,7,99,102,9.568503379821777
1,3,2,1,18,18,2,2,2,32,30,30,18,575,1830,658,744,422,363,7,7,7,7,7,7,85,86,9.47563648223877
1,3,2,1,18,18,2,2,2,32,30,30,18,729,2236,865,938,569,524,7,7,7,7,7,7,105,109,9.376817464828491
1,3,2,1,18,18,2,2,2,32,30,30,18,688,2065,794,863,501,450,7,7,7,7,7,7,90,91,9.535146713256836
1,3,2,1,18,18,2,2,2,32,30,30,18,629,1967,755,796,485,421,7,7,7,7,7,7,90,90,9.421860933303833
1,3,2,1,18,18,2,2,2,32,30,30,18,582,1778,679,715,406,376,7,7,7,7,7,7,86,86,9.442054510116577
1,3,2,1,18,18,2,2,2,32,30,30,18,502,1609,593,644,346,318,7,7,7,7,7,7,82,82,9.420251607894897
1,3,2,1,18,18,2,2,2,32,30,30,18,497,1598,584,640,338,318,7,7,7,7,7,7,75,75,9.440504312515259
1,3,2,1,18,18,2,2,2,32,30,30,18,564,1775,674,713,420,421,7,7,7,7,7,7,87,87,9.321737051010132
1,3,2,1,18,18,2,2,2,32,30,30,18,577,1840,693,735,441,381,7,7,7,7,7,7,88,88,9.716878652572632
1,3,2,1,18,18,2,2,2,32,30,30,18,756,2389,871,973,592,488,7,7,7,7,7,7,111,116,9.938218832015991
1,3,2,1,18,18,2,2,2,32,30,30,18,599,1815,676,745,416,382,7,7,7,7,7,7,84,84,9.494309425354004
1,3,2,1,18,18,2,2,2,32,30,30,18,770,2309,889,989,582,518,7,7,7,7,7,7,96,99,9.45365309715271
1,3,2,1,18,18,2,2,2,32,30,30,18,631,1900,736,790,458,412,7,7,7,7,7,7,89,90,9.74614930152893
1,3,2,1,18,18,2,2,2,32,30,30,18,750,2310,894,934,588,486,7,7,7,7,7,7,111,115,9.48568344116211
1,3,2,1,18,18,2,2,2,32,30,30,18,690,2081,822,869,508,474,7,7,7,7,7,7,94,97,9.701004028320312
1,3,2,1,18,18,2,2,2,32,30,30,18,826,2526,930,1065,641,539,7,7,7,7,7,7,112,119,9.550092220306396
1,3,2,1,18,18,2,2,2,32,30,30,18,713,2134,840,873,520,458,7,7,7,7,7,7,96,100,9.671375274658203
